"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Maine",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2000,2000,2000,1950,1650,1650,1875,1850,1900,2000,1900
"New Hampshire",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,2000,2000,2000,2000,2000,1800,1800,1800,1900,1800,1990,1995,1875,1995,2100,2000,1925,1900,1800,1900,2000
"Rhode Island",41,,,,,,,,,,,,,,,,,,,,,2000,2000,1900,2000,2000,1950,2000,2000,2000,2000,2000,2000,2000,1950,2125,2100,2200,2175,2100,2000,2000,2000,1900,1850,1900,2000,2000,1900,1950,1899,1900,2000,1950,1872.5,1800,1800,1900,1950,1900,2000,2025,2100,2050,2000,2000,2000,1950,1900,2000,2000,2000,2200,2200,2200,2200,2000,2000,2000,1950,2200,2000,2200,2250,2200,2300,2375,2200,2300,2200,2300,2300,2300,2300,2300,2300,2300,2300,2400,2400,2400,2300,2200,2250,2250,2300,2300,2300,2300,2300,2500,2350
"Montana",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1397.5,1400,1395,1395,1300,1300,1200,1200,1325,1272.5,1197.5,1197.5,1195,1350,1395,1325,1300,1350,1350,1300,1350,1350,1400,1397.5,1395,1400,1397.5,1350,1395,1362.5,1362.5,1295,1312.5,1385,1395,1325,1400,1500,1495,1450,1350,1400,1462.5,1400,1450,1395,1400,1595,1695,1597.5,1495,1500,1450,1400,1400,1400,1400,1400,1472.5,1550,1625,1800,1750,1572.5,1500,1500,1425,1400,1450,1450,1450,1500
"Delaware",43,,,,,,,,,,,,1650,1600,1600,1600,1600,1500,1600,1650,1600,1690,1665,1700,1675,1600,1525,1650,1650,1600,1700,1650,1650,1650,1600,1650,1695,1700,1650,1725,1750,1799,1800,1799,1750,1725,1700,1700,1700,1500,1475,1500,1725,1625,1700,1700,1712.5,1747.5,1700,1700,1700,1750,1662.5,1700,1750,1750,1750,1725,1725,1650,1650,1700,1700,1762.5,1700,1750,1725,1749,1795,1775,1795,1700,1743.5,1695,1655,1637.5,1621.5,1700,1700,1700,1716.5,1700,1704,1710,1700,1700,1672.5,1669.5,1700,1650,1700,1788.5,1800,1800,1700,1750,1695,1795,1785,1850,1750,1772.5
"South Dakota",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1300,1300,1325,1395,1425,1400,1395,1350,1350,1400,1400,1320,1400,1500,1500,1500,1397.5,1350,1375,1400,1300,1350,1372.5,1375,1300,1300,1280
"Alaska",45,,,,,,,,,,,,,,,,,,2125,2200,2200,2000,1925,1975,1945,2050,2095,2047.5,2065,2100,2047.5,1850,2025,2200,1870,1850,1850,1970,1800,2035,2200,2262.5,2290,2150,2162.5,2000,1925,1900,1800,1800,1800,1800,2000,2100,2092.5,2200,2095,2050,2000,2100,2250,2086.5,2073,1950,2300,2250,2240,2195,2100,2200,2100,2100,2150,2050,2150,2200,2195,1945,2140,2200,2200,1950,1920,1950,1900,1872.5,1845,1997.5,2000,2097.5,2100,2000,2025,2000,1995,2000,2100,2000,2100,2175,2100,2100,2100,2100,2095,2000,1995,2000,1995,1950,1970,2000
"North Dakota",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1572.5,1547.5,1497.5,1495,1395,1495,1395,1395,1495,1395,1460.5,1500,1595,1595,1595,1545,1400,1525,1400,1400,1495,1495,1590,1600,1590,1550.5
"Vermont",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275,3200,3200,2800,2800,2800,2800,2800,2800,3200,3065,2790,2600,2750,2725,2700,2800
"District of Columbia",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3075,3075,3050,3225,2997,2825,2700,2675,2925,2847.5,2925,3000,3500,3500,3300,3150,2900,2825,3000,3150,3500,3000,3482.5,3300,3482.5,3500,3200,3350,3175,3000,3095,3050,3500,3600,3500,3499,3700,3895,3600,3500,3500,3375,3300,3200,3000,3487.5,3600,3925,3865,3750,3600,3500,3375,3200,3300,3400,3400,3500
"Wyoming",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1300,1250,1285,1282.5,1275,1300,1300,1275,1250,1250,1162.5,1200,1200,1200,1225,1200,1300,1200,1200,1126.5,1179,1200,1200,1151.5,1150,1275
